No,名称,北緯,東経,現在の市町村名,Link
75,佐賀県東脊振村（下石動）,33.3566666,130.4063888,佐賀県吉野ヶ里町
76,佐賀県小城町（江里山）,33.3291666,130.1938888,佐賀県小城市
77,佐賀県呼子町（加部島）,33.5558333,129.8836111,佐賀県唐津市
78,長崎県小浜町（木指）,32.7161111,130.1969444,長崎県雲仙市
79,長崎県厳原町（椎根）,34.2211111,129.1913888,長崎県対馬市
80,熊本県阿蘇町（小野田）,32.9705555,131.0844444,熊本県阿蘇市
81,熊本県矢部町（白糸）,32.6761111,130.9947222,熊本県山都町
82,大分県緒方町（上自在）,32.9722222,131.4572222,大分県豊後大野市
83,宮崎県国富町（高田原）,32.0266666,131.2836111,宮崎県国富町
84,宮崎県西郷村（峰）,32.4405555,131.4244444,宮崎県美郷町
85,宮崎県日之影町（戸川）,32.7002777,131.4011111,宮崎県日之影町
86,鹿児島県喜界町（蒲生）,28.2961111,129.9802777,鹿児島県喜界町
87,沖縄県伊平屋村（我喜屋）,27.0338888,127.9622222,沖縄県伊平屋村
88,沖縄県竹富町（大富）,24.2838888,123.8808333,沖縄県竹富町
89,沖縄県竹富町（竹富）,24.33,124.0852777,沖縄県竹富町
