No,名称,北緯,東経,所在地,Link
63,鳥取城,35.51,134.2411111,鳥取県鳥取市,https://www.100finecastles.com/castles/tottorijo/
64,松江城,35.475,133.0505555,島根県松江市,https://www.100finecastles.com/castles/matsuejo/
65,月山富田城,35.3608333,133.1847222,島根県安来市,https://www.100finecastles.com/castles/gassantodajo/
66,津和野城,34.46,131.7641666,島根県津和野町,https://www.100finecastles.com/castles/tsuwanojo/
67,津山城,35.0627777,134.005,岡山県津山市,https://www.100finecastles.com/castles/tsuyamajo/
68,備中松山城,34.8088888,133.6219444,岡山県高梁市,https://www.100finecastles.com/castles/bichumatsuyamajo/
69,鬼ノ城,34.7275,133.7677777,岡山県総社市,https://www.100finecastles.com/castles/kinojo/
70,岡山城,34.665,133.9361111,岡山県岡山市,https://www.100finecastles.com/castles/okayamajo/
71,福山城,34.4908333,133.3611111,広島県福山市,https://www.100finecastles.com/castles/fukuyamajo/
72,郡山城,34.6736111,132.7094444,広島県安芸高田市,https://www.100finecastles.com/castles/koriyamajo/
73,広島城,34.4025,132.4591666,広島県広島市,https://www.100finecastles.com/castles/hiroshimajo/
74,岩国城,34.1752777,132.1741666,山口県岩国市,https://www.100finecastles.com/castles/iwakunijo/
75,萩城,34.4213888,131.3813888,山口県萩市,https://www.100finecastles.com/castles/hagijo/
76,徳島城,34.0752777,134.555,徳島県徳島市,https://www.100finecastles.com/castles/tokushimajo/
77,高松城,34.3502777,134.0516666,香川県高松市,https://www.100finecastles.com/castles/takamatsujo/
78,丸亀城,34.2861111,133.8005555,香川県丸亀市,https://www.100finecastles.com/castles/marugamejo/
79,今治城,34.0633333,133.0069444,愛媛県今治市,https://www.100finecastles.com/castles/imabarijo/
80,湯築城,33.8486111,132.7863888,愛媛県松山市,https://www.100finecastles.com/castles/yuzukijo/
81,松山城,33.8455555,132.7655555,愛媛県松山市,https://www.100finecastles.com/castles/matsuyamajo/
82,大洲城,33.5094444,132.5411111,愛媛県大洲市,https://www.100finecastles.com/castles/ozujo/
83,宇和島城,33.2191666,132.565,愛媛県宇和島市,https://www.100finecastles.com/castles/uwajimajo/
84,高知城,33.5608333,133.5311111,高知県高知市,https://www.100finecastles.com/castles/kochijo/
85,福岡城,33.5847222,130.3830555,福岡県福岡市,https://www.100finecastles.com/castles/fukuokajo/
86,大野城,33.5397222,130.5230555,福岡県大野城市,https://www.100finecastles.com/castles/onojo/
87,名護屋城,33.5302777,129.8691666,佐賀県唐津市,https://www.100finecastles.com/castles/nagoyajo-saga/
88,吉野ヶ里,33.3247222,130.3833333,佐賀県吉野ヶ里町,https://www.100finecastles.com/castles/yoshinogariiseki/
89,佐賀城,33.2452777,130.3027777,佐賀県佐賀市,https://www.100finecastles.com/castles/sagajo/
