No,認定地域,北緯,東経,現在の市町村名
93,高知県土佐郡大川村,33.7836111,133.4666666,高知県大川村
94,高知県土佐郡本川村,33.7255555,133.3077777,高知県いの町
95,高知県高岡郡檮原町,33.3919444,132.9269444,高知県檮原町
96,高知県幡多郡十和村,33.2336111,132.8533333,高知県四万十町
97,福岡県柳川市,33.1630555,130.4061111,福岡県柳川市
98,福岡県甘木市,33.4233333,130.6655555,福岡県朝倉市
99,佐賀県佐賀市,33.2633333,130.3008333,佐賀県佐賀市
100,佐賀県佐賀郡富士町,33.3736111,130.2080555,佐賀県佐賀市
101,佐賀県神埼郡神埼町,33.3108333,130.3730555,佐賀県神埼市
102,長崎県島原市,32.7880555,130.3705555,長崎県島原市
103,熊本県熊本市,32.8033333,130.7080555,熊本県熊本市
104,熊本県阿蘇郡白水村,32.8255555,131.0819444,熊本県南阿蘇村
105,熊本県上益城郡嘉島町,32.74,130.7572222,熊本県嘉島町
106,熊本県上益城郡矢部町,32.685,130.99,熊本県山都町
107,大分県日田市,33.3211111,130.9413888,大分県日田市
108,大分県竹田市,32.9730555,131.3983333,大分県竹田市
109,大分県大野郡三重町,32.9780555,131.585,大分県豊後大野市
110,大分県下毛郡山国町,33.4025,131.0416666,大分県中津市
111,宮崎県延岡市,32.5822222,131.665,宮崎県延岡市
112,宮崎県東諸県郡綾町,31.9991666,131.2530555,宮崎県綾町
113,鹿児島県揖宿郡開聞町,31.2036111,130.5377777,鹿児島県指宿市
114,鹿児島県川辺郡川辺町,31.3913888,130.3936111,鹿児島県南九州市
115,沖縄県島尻郡玉城村,26.1444444,127.7669444,沖縄県南城市
