No,名称,北緯,東経,所在地,Link
33,県立三ツ池公園,35.5219444,139.6586111,神奈川県横浜市,https://www.kanagawaparks.com/mitsuike/
34,小田原城址公園・城山公園,35.2508333,139.1541666,神奈川県小田原市,https://odawaracastle.com/Overview/
35,衣笠山公園,35.2491666,139.66,神奈川県横須賀市,https://www.cocoyoko.net/spot/kinugasa-park.html
36,大河津分水,37.6369444,138.8261111,新潟県燕市,https://tsubame-kankou.jp/seeing/sakuraspot/
37,高田公園,37.1094444,138.2552777,新潟県上越市,https://niigata-kankou.or.jp/spot/8484
38,村松公園,37.6891666,139.1886111,新潟県五泉市,https://niigata-kankou.or.jp/event/1909
39,高岡古城公園,36.7491666,137.0225,富山県高岡市,https://takaoka.mypl.net/article/ohanami_takaoka/106
40,松川公園,36.6944444,137.2072222,富山県富山市,https://toyama.visit-town.com/toyamastyle/matsukawa
41,兼六園,36.5619444,136.6619444,石川県金沢市,https://kenrokuen.or.jp/seasons/april/
42,足羽川・足羽山公園,36.0555555,136.2058333,福井県福井市,https://www.fuku-e.com/010_spot/?id=515
43,霞ヶ城公園,36.1525,136.2722222,福井県坂井市,https://www.nippon.com/ja/guide-to-japan/sakura00118043/
44,大法師公園,35.5455555,138.4544444,山梨県富士川町,https://www.yamanashi-kankou.jp/kankou/spot/p1_4257.html
45,小諸城趾懐古園,36.3277777,138.4175,長野県小諸市,https://www.komoro-tour.jp/spot/castle/sakura/
46,高遠城址公園,35.8327777,138.0625,長野県伊那市,https://inashi-kankoukyoukai.jp/contents/archives/26702
47,臥竜公園,36.6438888,138.3141666,長野県須坂市,https://skima-shinshu.com/suzaka-sakura/
48,新境川堤・百十郎桜,35.4094444,136.8436111,岐阜県各務原市,https://www.kankou-gifu.jp/spot/3362/
49,霞間ヶ渓,35.4311111,136.5505555,岐阜県池田町,https://www.kankou-gifu.jp/spot/886/
50,根尾谷・淡墨公園,35.6319444,136.6083333,岐阜県本巣市,https://www.kankou-gifu.jp/spot/921/
51,冨士霊園,35.3716666,138.9052777,静岡県小山町,https://www.surugawan.net/guide/319.html
52,さくらの里,34.9066666,139.0902777,静岡県伊東市,https://itospa.com/spot/detail_54006.html
53,岡崎公園,34.9569444,137.1608333,愛知県岡崎市,https://okazaki-kanko.jp/feature/sakuramaturi/top
54,山崎川四季の道,35.1288888,136.9436111,愛知県名古屋市,https://www.city.nagoya.jp/ryokuseidoboku/page/0000044878.html
55,鶴舞公園,35.1547222,136.9197222,愛知県名古屋市,https://maruchiba.jp/sys/data/index/page/id/3443
56,五条川,35.3294444,136.9061111,愛知県岩倉市・江南市・大口町,https://icotto.jp/presses/620
57,三多気,34.5183333,136.2208333,三重県津市,https://www.kankomie.or.jp/event/detail_5705.html
58,宮川堤,34.4933333,136.6852777,三重県伊勢市,https://ise-kanko.jp/miyagawa-sakura/
59,海津大崎,35.4488888,136.0875,滋賀県高島市,https://takashima-kanko.jp/sakura/
60,豊公園,35.3772222,136.2611111,滋賀県長浜市,https://www.city.nagahama.lg.jp/0000009856.html
61,嵐山,35.0108333,135.6791666,京都府京都市,https://caede-kyoto.com/%E4%BA%AC%E9%83%BD%E3%81%AE%E6%9C%89%E5%90%8D%E8%A6%B3%E5%85%89%E5%9C%B0%E3%80%8C%E5%B5%90%E5%B1%B1%E3%80%8D%E3%80%82%E3%81%93%E3%81%93%E3%81%A7%E8%A6%8B%E3%82%89%E3%82%8C%E3%82%8B%E6%A1%9C%E3%81%AE/
62,御室桜,35.0297222,135.7133333,京都府京都市,https://media.mk-group.co.jp/entry/sakura-ninnaji
63,醍醐寺,34.9511111,135.8238888,京都府京都市,https://www.daigoji.or.jp/flowers/flowers_detail1.html
64,笠置山自然公園,34.7533333,135.9416666,京都府笠置町,https://www.nippon.com/ja/guide-to-japan/sakura00126040/
65,大阪城公園,34.6858333,135.5316666,大阪府大阪市,https://www.osakacastlepark.jp/articles/detail.html?id=74&lang=ja
66,造幣局,34.6966666,135.5208333,大阪府大阪市,https://www.mint.go.jp/wide/sakura_osaka_news_r3.html
67,万博記念公園,34.8102777,135.5305555,大阪府吹田市,https://icotto.jp/presses/7065
68,姫路城,34.8413888,134.6947222,兵庫県姫路市,https://tanosu.com/trip/35849/
69,明石公園,34.6527777,134.9919444,兵庫県明石市,https://akashitowns.com/tourism/5302/
70,夙川公園・夙川河川敷緑地,34.745,135.3288888,兵庫県西宮市,https://www.nihon-kankou.or.jp/sakura/detail/?ken__=hyogo&shi__=28204&id__=S2805
71,奈良公園,34.6822222,135.8469444,奈良県奈良市,https://www.e-suzaku.net/?tours_post=kg-110#ad-image-2
72,吉野山,34.3602777,135.8638888,奈良県吉野町,https://87yama.sakura.ne.jp/news/sakura-spot/
73,郡山城址公園,34.6516666,135.7788888,奈良県大和郡山市,https://parkful.net/2017/03/sakura-kooriyamajo/
74,紀三井寺,34.185,135.19,和歌山県和歌山市,https://www.kimiidera.com/
75,根来寺,34.2872222,135.3163888,和歌山県岩出市,http://kanko-iwade.com/sakura.html
